Data loaded: size=10000, dim=784
RowNUM:184,ZeroNum:665
RowNUM:185,ZeroNum:644
RowNUM:186,ZeroNum:580
RowNUM:187,ZeroNum:618
RowNUM:188,ZeroNum:713
RowNUM:189,ZeroNum:705
RowNUM:190,ZeroNum:669
RowNUM:191,ZeroNum:647
RowNUM:192,ZeroNum:666
RowNUM:193,ZeroNum:680
RowNUM:194,ZeroNum:674
RowNUM:195,ZeroNum:679
RowNUM:196,ZeroNum:660
RowNUM:197,ZeroNum:636
RowNUM:198,ZeroNum:671
RowNUM:199,ZeroNum:678
RowNUM:200,ZeroNum:684
RowNUM:201,ZeroNum:663
RowNUM:202,ZeroNum:629
RowNUM:203,ZeroNum:589
RowNUM:204,ZeroNum:716
RowNUM:205,ZeroNum:644
RowNUM:206,ZeroNum:715
RowNUM:207,ZeroNum:610
RowNUM:208,ZeroNum:691
RowNUM:209,ZeroNum:650
RowNUM:210,ZeroNum:706
RowNUM:211,ZeroNum:605
RowNUM:212,ZeroNum:641
RowNUM:213,ZeroNum:595
RowNUM:214,ZeroNum:579
RowNUM:215,ZeroNum:638
RowNUM:216,ZeroNum:584
RowNUM:217,ZeroNum:617
RowNUM:218,ZeroNum:621
RowNUM:219,ZeroNum:700
RowNUM:220,ZeroNum:657
RowNUM:221,ZeroNum:640
RowNUM:222,ZeroNum:715
RowNUM:223,ZeroNum:632
RowNUM:224,ZeroNum:644
RowNUM:225,ZeroNum:703
RowNUM:226,ZeroNum:643
RowNUM:227,ZeroNum:592
RowNUM:228,ZeroNum:543
RowNUM:229,ZeroNum:652
RowNUM:230,ZeroNum:627
RowNUM:231,ZeroNum:652
RowNUM:232,ZeroNum:691
RowNUM:233,ZeroNum:615
RowNUM:234,ZeroNum:682
RowNUM:235,ZeroNum:680
RowNUM:236,ZeroNum:669
RowNUM:237,ZeroNum:635
RowNUM:238,ZeroNum:572
RowNUM:239,ZeroNum:638
RowNUM:240,ZeroNum:651
RowNUM:241,ZeroNum:623
RowNUM:242,ZeroNum:626
RowNUM:243,ZeroNum:695
RowNUM:244,ZeroNum:630
RowNUM:245,ZeroNum:625
RowNUM:246,ZeroNum:700
RowNUM:247,ZeroNum:524
RowNUM:248,ZeroNum:657
RowNUM:249,ZeroNum:593
RowNUM:250,ZeroNum:637
RowNUM:251,ZeroNum:628
RowNUM:252,ZeroNum:598
RowNUM:253,ZeroNum:689
RowNUM:254,ZeroNum:628
RowNUM:255,ZeroNum:685
RowNUM:256,ZeroNum:647
RowNUM:257,ZeroNum:703
RowNUM:258,ZeroNum:539
RowNUM:259,ZeroNum:647
RowNUM:260,ZeroNum:671
RowNUM:261,ZeroNum:604
RowNUM:262,ZeroNum:655
RowNUM:263,ZeroNum:632
RowNUM:264,ZeroNum:619
RowNUM:265,ZeroNum:606
RowNUM:266,ZeroNum:666
RowNUM:267,ZeroNum:653
RowNUM:268,ZeroNum:606
RowNUM:269,ZeroNum:643
RowNUM:270,ZeroNum:607
RowNUM:271,ZeroNum:680
RowNUM:272,ZeroNum:699
RowNUM:273,ZeroNum:552
RowNUM:274,ZeroNum:581
RowNUM:275,ZeroNum:639
RowNUM:276,ZeroNum:652
RowNUM:277,ZeroNum:639
RowNUM:278,ZeroNum:661
RowNUM:279,ZeroNum:579
RowNUM:280,ZeroNum:570
RowNUM:281,ZeroNum:624
RowNUM:282,ZeroNum:623
RowNUM:283,ZeroNum:658
RowNUM:284,ZeroNum:641
RowNUM:285,ZeroNum:602
RowNUM:286,ZeroNum:726
RowNUM:287,ZeroNum:581
RowNUM:288,ZeroNum:724
RowNUM:289,ZeroNum:690
RowNUM:290,ZeroNum:595
RowNUM:291,ZeroNum:569
RowNUM:292,ZeroNum:670
RowNUM:293,ZeroNum:679
RowNUM:294,ZeroNum:667
RowNUM:295,ZeroNum:618
RowNUM:296,ZeroNum:672
RowNUM:297,ZeroNum:602
RowNUM:298,ZeroNum:666
RowNUM:299,ZeroNum:644
RowNUM:300,ZeroNum:602
RowNUM:301,ZeroNum:537
RowNUM:302,ZeroNum:544
RowNUM:303,ZeroNum:696
RowNUM:304,ZeroNum:680
RowNUM:305,ZeroNum:628
RowNUM:306,ZeroNum:678
RowNUM:307,ZeroNum:627
RowNUM:308,ZeroNum:679
RowNUM:309,ZeroNum:617
RowNUM:310,ZeroNum:598
RowNUM:311,ZeroNum:630
RowNUM:312,ZeroNum:646
RowNUM:313,ZeroNum:665
RowNUM:314,ZeroNum:610
RowNUM:315,ZeroNum:691
RowNUM:316,ZeroNum:711
RowNUM:317,ZeroNum:508
RowNUM:318,ZeroNum:642
RowNUM:319,ZeroNum:662
RowNUM:320,ZeroNum:646
RowNUM:321,ZeroNum:627
RowNUM:322,ZeroNum:684
RowNUM:323,ZeroNum:687
RowNUM:324,ZeroNum:617
RowNUM:325,ZeroNum:686
RowNUM:326,ZeroNum:589
RowNUM:327,ZeroNum:740
RowNUM:328,ZeroNum:613
RowNUM:329,ZeroNum:666
RowNUM:330,ZeroNum:557
RowNUM:331,ZeroNum:597
RowNUM:332,ZeroNum:627
RowNUM:333,ZeroNum:641
RowNUM:334,ZeroNum:608
RowNUM:335,ZeroNum:655
RowNUM:336,ZeroNum:653
RowNUM:337,ZeroNum:652
RowNUM:338,ZeroNum:620
RowNUM:339,ZeroNum:592
RowNUM:340,ZeroNum:650
RowNUM:341,ZeroNum:667
RowNUM:342,ZeroNum:535
RowNUM:343,ZeroNum:635
RowNUM:344,ZeroNum:633
RowNUM:345,ZeroNum:589
RowNUM:346,ZeroNum:635
RowNUM:347,ZeroNum:660
RowNUM:348,ZeroNum:621
RowNUM:349,ZeroNum:623
RowNUM:350,ZeroNum:615
RowNUM:351,ZeroNum:647
RowNUM:352,ZeroNum:635
RowNUM:353,ZeroNum:607
RowNUM:354,ZeroNum:639
RowNUM:355,ZeroNum:642
RowNUM:356,ZeroNum:620
RowNUM:357,ZeroNum:629
RowNUM:358,ZeroNum:653
RowNUM:359,ZeroNum:627
RowNUM:360,ZeroNum:602
RowNUM:361,ZeroNum:661
RowNUM:362,ZeroNum:652
RowNUM:363,ZeroNum:656
RowNUM:364,ZeroNum:591
RowNUM:365,ZeroNum:648
RowNUM:366,ZeroNum:672
RowNUM:367,ZeroNum:736
RowNUM:368,ZeroNum:708
RowNUM:369,ZeroNum:598
RowNUM:370,ZeroNum:646
RowNUM:371,ZeroNum:642
RowNUM:372,ZeroNum:632
RowNUM:373,ZeroNum:620
RowNUM:374,ZeroNum:656
RowNUM:375,ZeroNum:638
RowNUM:376,ZeroNum:603
RowNUM:377,ZeroNum:652
RowNUM:378,ZeroNum:673
RowNUM:379,ZeroNum:636
RowNUM:380,ZeroNum:702
RowNUM:381,ZeroNum:604
RowNUM:382,ZeroNum:628
RowNUM:383,ZeroNum:595
RowNUM:384,ZeroNum:655
RowNUM:385,ZeroNum:727
RowNUM:386,ZeroNum:619
RowNUM:387,ZeroNum:677
RowNUM:388,ZeroNum:661
RowNUM:389,ZeroNum:633
RowNUM:390,ZeroNum:675
RowNUM:391,ZeroNum:625
RowNUM:392,ZeroNum:618
RowNUM:393,ZeroNum:607
RowNUM:394,ZeroNum:582
RowNUM:395,ZeroNum:599
RowNUM:396,ZeroNum:564
RowNUM:397,ZeroNum:641
RowNUM:398,ZeroNum:671
RowNUM:399,ZeroNum:621
RowNUM:400,ZeroNum:603
RowNUM:401,ZeroNum:675
RowNUM:402,ZeroNum:680
RowNUM:403,ZeroNum:604
RowNUM:404,ZeroNum:619
RowNUM:405,ZeroNum:676
RowNUM:406,ZeroNum:602
RowNUM:407,ZeroNum:650
RowNUM:408,ZeroNum:600
RowNUM:409,ZeroNum:686
RowNUM:410,ZeroNum:659
RowNUM:411,ZeroNum:655
RowNUM:412,ZeroNum:725
RowNUM:413,ZeroNum:654
RowNUM:414,ZeroNum:637
RowNUM:415,ZeroNum:644
RowNUM:416,ZeroNum:660
RowNUM:417,ZeroNum:665
RowNUM:418,ZeroNum:570
RowNUM:419,ZeroNum:686
RowNUM:420,ZeroNum:679
RowNUM:421,ZeroNum:631
RowNUM:422,ZeroNum:606
RowNUM:423,ZeroNum:682
RowNUM:424,ZeroNum:662
RowNUM:425,ZeroNum:662
RowNUM:426,ZeroNum:662
RowNUM:427,ZeroNum:611
RowNUM:428,ZeroNum:699
RowNUM:429,ZeroNum:589
RowNUM:430,ZeroNum:701
RowNUM:431,ZeroNum:653
RowNUM:432,ZeroNum:620
RowNUM:433,ZeroNum:650
RowNUM:434,ZeroNum:652
RowNUM:435,ZeroNum:612
RowNUM:436,ZeroNum:599
RowNUM:437,ZeroNum:608
RowNUM:438,ZeroNum:619
RowNUM:439,ZeroNum:634
RowNUM:440,ZeroNum:617
RowNUM:441,ZeroNum:633
RowNUM:442,ZeroNum:615
RowNUM:443,ZeroNum:715
RowNUM:444,ZeroNum:640
RowNUM:445,ZeroNum:682
RowNUM:446,ZeroNum:656
RowNUM:447,ZeroNum:662
RowNUM:448,ZeroNum:598
RowNUM:449,ZeroNum:666
RowNUM:450,ZeroNum:703
RowNUM:451,ZeroNum:640
RowNUM:452,ZeroNum:607
RowNUM:453,ZeroNum:628
RowNUM:454,ZeroNum:610
RowNUM:455,ZeroNum:579
RowNUM:456,ZeroNum:643
RowNUM:457,ZeroNum:686
RowNUM:458,ZeroNum:656
RowNUM:459,ZeroNum:643
RowNUM:460,ZeroNum:616
RowNUM:461,ZeroNum:652
RowNUM:462,ZeroNum:599
RowNUM:463,ZeroNum:618
RowNUM:464,ZeroNum:655
RowNUM:465,ZeroNum:711
RowNUM:466,ZeroNum:642
RowNUM:467,ZeroNum:648
RowNUM:468,ZeroNum:678
RowNUM:469,ZeroNum:700
RowNUM:470,ZeroNum:670
RowNUM:471,ZeroNum:626
RowNUM:472,ZeroNum:566
RowNUM:473,ZeroNum:651
RowNUM:474,ZeroNum:709
RowNUM:475,ZeroNum:618
RowNUM:476,ZeroNum:626
RowNUM:477,ZeroNum:565
RowNUM:478,ZeroNum:643
RowNUM:479,ZeroNum:668
RowNUM:480,ZeroNum:624
RowNUM:481,ZeroNum:635
RowNUM:482,ZeroNum:708
RowNUM:483,ZeroNum:650
RowNUM:484,ZeroNum:716
RowNUM:485,ZeroNum:692
RowNUM:486,ZeroNum:658
RowNUM:487,ZeroNum:674
RowNUM:488,ZeroNum:634
RowNUM:489,ZeroNum:676
RowNUM:490,ZeroNum:590
RowNUM:491,ZeroNum:639
RowNUM:492,ZeroNum:660
RowNUM:493,ZeroNum:686
RowNUM:494,ZeroNum:680
RowNUM:495,ZeroNum:649
RowNUM:496,ZeroNum:583
RowNUM:497,ZeroNum:711
RowNUM:498,ZeroNum:666
RowNUM:499,ZeroNum:601
RowNUM:500,ZeroNum:669
RowNUM:501,ZeroNum:644
RowNUM:502,ZeroNum:658
RowNUM:503,ZeroNum:696
RowNUM:504,ZeroNum:604
RowNUM:505,ZeroNum:705
RowNUM:506,ZeroNum:647
RowNUM:507,ZeroNum:644
RowNUM:508,ZeroNum:649
RowNUM:509,ZeroNum:685
RowNUM:510,ZeroNum:657
RowNUM:511,ZeroNum:664
RowNUM:512,ZeroNum:636
RowNUM:513,ZeroNum:564
RowNUM:514,ZeroNum:723
RowNUM:515,ZeroNum:611
RowNUM:516,ZeroNum:553
RowNUM:517,ZeroNum:658
RowNUM:518,ZeroNum:643
RowNUM:519,ZeroNum:724
RowNUM:520,ZeroNum:638
RowNUM:521,ZeroNum:612
RowNUM:522,ZeroNum:622
RowNUM:523,ZeroNum:576
RowNUM:524,ZeroNum:633
RowNUM:525,ZeroNum:630
RowNUM:526,ZeroNum:708
RowNUM:527,ZeroNum:721
RowNUM:528,ZeroNum:631
RowNUM:529,ZeroNum:666
RowNUM:530,ZeroNum:651
RowNUM:531,ZeroNum:608
RowNUM:532,ZeroNum:560
RowNUM:533,ZeroNum:624
RowNUM:534,ZeroNum:620
RowNUM:535,ZeroNum:662
RowNUM:536,ZeroNum:641
RowNUM:537,ZeroNum:573
RowNUM:538,ZeroNum:661
RowNUM:539,ZeroNum:729
RowNUM:540,ZeroNum:682
RowNUM:541,ZeroNum:656
RowNUM:542,ZeroNum:612
RowNUM:543,ZeroNum:635
RowNUM:544,ZeroNum:602
RowNUM:545,ZeroNum:615
RowNUM:546,ZeroNum:628
RowNUM:547,ZeroNum:609
RowNUM:548,ZeroNum:653
RowNUM:549,ZeroNum:652
RowNUM:550,ZeroNum:694
RowNUM:551,ZeroNum:636
RowNUM:552,ZeroNum:616
RowNUM:553,ZeroNum:609
RowNUM:554,ZeroNum:673
RowNUM:555,ZeroNum:685
RowNUM:556,ZeroNum:611
RowNUM:557,ZeroNum:617
RowNUM:558,ZeroNum:589
RowNUM:559,ZeroNum:691
RowNUM:560,ZeroNum:706
RowNUM:561,ZeroNum:665
RowNUM:562,ZeroNum:655
RowNUM:563,ZeroNum:640
RowNUM:564,ZeroNum:641
RowNUM:565,ZeroNum:686
RowNUM:566,ZeroNum:671
RowNUM:567,ZeroNum:620
RowNUM:568,ZeroNum:625
RowNUM:569,ZeroNum:620
RowNUM:570,ZeroNum:705
RowNUM:571,ZeroNum:624
RowNUM:572,ZeroNum:625
RowNUM:573,ZeroNum:622
RowNUM:574,ZeroNum:643
RowNUM:575,ZeroNum:632
RowNUM:576,ZeroNum:625
RowNUM:577,ZeroNum:652
RowNUM:578,ZeroNum:698
RowNUM:579,ZeroNum:656
RowNUM:580,ZeroNum:640
RowNUM:581,ZeroNum:615
RowNUM:582,ZeroNum:656
RowNUM:583,ZeroNum:606
RowNUM:584,ZeroNum:679
RowNUM:585,ZeroNum:621
RowNUM:586,ZeroNum:694
RowNUM:587,ZeroNum:608
RowNUM:588,ZeroNum:637
RowNUM:589,ZeroNum:656
RowNUM:590,ZeroNum:613
RowNUM:591,ZeroNum:602
RowNUM:592,ZeroNum:688
RowNUM:593,ZeroNum:654
RowNUM:594,ZeroNum:674
RowNUM:595,ZeroNum:634
RowNUM:596,ZeroNum:641
RowNUM:597,ZeroNum:702
RowNUM:598,ZeroNum:666
RowNUM:599,ZeroNum:695
RowNUM:600,ZeroNum:622
RowNUM:601,ZeroNum:620
RowNUM:602,ZeroNum:662
RowNUM:603,ZeroNum:695
RowNUM:604,ZeroNum:659
RowNUM:605,ZeroNum:631
RowNUM:606,ZeroNum:643
RowNUM:607,ZeroNum:619
RowNUM:608,ZeroNum:644
RowNUM:609,ZeroNum:704
RowNUM:610,ZeroNum:648
RowNUM:611,ZeroNum:662
RowNUM:612,ZeroNum:621
RowNUM:613,ZeroNum:687
RowNUM:614,ZeroNum:666
RowNUM:615,ZeroNum:670
RowNUM:616,ZeroNum:596
RowNUM:617,ZeroNum:660
RowNUM:618,ZeroNum:612
RowNUM:619,ZeroNum:583
RowNUM:620,ZeroNum:549
RowNUM:621,ZeroNum:638
RowNUM:622,ZeroNum:640
RowNUM:623,ZeroNum:670
RowNUM:624,ZeroNum:690
RowNUM:625,ZeroNum:655
RowNUM:626,ZeroNum:702
RowNUM:627,ZeroNum:684
RowNUM:628,ZeroNum:648
RowNUM:629,ZeroNum:602
RowNUM:630,ZeroNum:653
RowNUM:631,ZeroNum:662
RowNUM:632,ZeroNum:637
RowNUM:633,ZeroNum:637
RowNUM:634,ZeroNum:616
RowNUM:635,ZeroNum:674
RowNUM:636,ZeroNum:668
RowNUM:637,ZeroNum:619
RowNUM:638,ZeroNum:644
RowNUM:639,ZeroNum:584
RowNUM:640,ZeroNum:627
RowNUM:641,ZeroNum:638
RowNUM:642,ZeroNum:608
RowNUM:643,ZeroNum:711
RowNUM:644,ZeroNum:598
RowNUM:645,ZeroNum:637
RowNUM:646,ZeroNum:685
RowNUM:647,ZeroNum:632
RowNUM:648,ZeroNum:719
RowNUM:649,ZeroNum:641
RowNUM:650,ZeroNum:636
RowNUM:651,ZeroNum:690
RowNUM:652,ZeroNum:713
RowNUM:653,ZeroNum:628
RowNUM:654,ZeroNum:619
RowNUM:655,ZeroNum:666
RowNUM:656,ZeroNum:645
RowNUM:657,ZeroNum:596
RowNUM:658,ZeroNum:619
RowNUM:659,ZeroNum:658
RowNUM:660,ZeroNum:675
RowNUM:661,ZeroNum:653
RowNUM:662,ZeroNum:685
RowNUM:663,ZeroNum:616
RowNUM:664,ZeroNum:601
RowNUM:665,ZeroNum:634
RowNUM:666,ZeroNum:662
RowNUM:667,ZeroNum:697
RowNUM:668,ZeroNum:630
RowNUM:669,ZeroNum:645
RowNUM:670,ZeroNum:589
RowNUM:671,ZeroNum:664
RowNUM:672,ZeroNum:616
RowNUM:673,ZeroNum:674
RowNUM:674,ZeroNum:591
RowNUM:675,ZeroNum:697
RowNUM:676,ZeroNum:662
RowNUM:677,ZeroNum:662
RowNUM:678,ZeroNum:582
RowNUM:679,ZeroNum:555
RowNUM:680,ZeroNum:601
RowNUM:681,ZeroNum:606
RowNUM:682,ZeroNum:602
RowNUM:683,ZeroNum:620
RowNUM:684,ZeroNum:670
RowNUM:685,ZeroNum:648
RowNUM:686,ZeroNum:649
RowNUM:687,ZeroNum:609
RowNUM:688,ZeroNum:656
RowNUM:689,ZeroNum:684
RowNUM:690,ZeroNum:646
RowNUM:691,ZeroNum:649
RowNUM:692,ZeroNum:679
RowNUM:693,ZeroNum:644
RowNUM:694,ZeroNum:673
RowNUM:695,ZeroNum:604
RowNUM:696,ZeroNum:723
RowNUM:697,ZeroNum:612
RowNUM:698,ZeroNum:571
RowNUM:699,ZeroNum:606
RowNUM:700,ZeroNum:596
RowNUM:701,ZeroNum:585
RowNUM:702,ZeroNum:645
RowNUM:703,ZeroNum:727
RowNUM:704,ZeroNum:638
RowNUM:705,ZeroNum:632
RowNUM:706,ZeroNum:628
RowNUM:707,ZeroNum:662
RowNUM:708,ZeroNum:644
RowNUM:709,ZeroNum:623
RowNUM:710,ZeroNum:625
RowNUM:711,ZeroNum:703
RowNUM:712,ZeroNum:634
RowNUM:713,ZeroNum:710
RowNUM:714,ZeroNum:703
RowNUM:715,ZeroNum:591
RowNUM:716,ZeroNum:667
RowNUM:717,ZeroNum:602
RowNUM:718,ZeroNum:620
RowNUM:719,ZeroNum:649
RowNUM:720,ZeroNum:587
RowNUM:721,ZeroNum:584
RowNUM:722,ZeroNum:644
RowNUM:723,ZeroNum:619
RowNUM:724,ZeroNum:610
RowNUM:725,ZeroNum:711
RowNUM:726,ZeroNum:597
RowNUM:727,ZeroNum:723
RowNUM:728,ZeroNum:609
RowNUM:729,ZeroNum:570
RowNUM:730,ZeroNum:687
RowNUM:731,ZeroNum:696
RowNUM:732,ZeroNum:657
RowNUM:733,ZeroNum:674
RowNUM:734,ZeroNum:614
RowNUM:735,ZeroNum:650
RowNUM:736,ZeroNum:699
RowNUM:737,ZeroNum:727
RowNUM:738,ZeroNum:660
RowNUM:739,ZeroNum:608
RowNUM:740,ZeroNum:657
RowNUM:741,ZeroNum:648
RowNUM:742,ZeroNum:588
RowNUM:743,ZeroNum:653
RowNUM:744,ZeroNum:706
RowNUM:745,ZeroNum:652
RowNUM:746,ZeroNum:629
RowNUM:747,ZeroNum:674
RowNUM:748,ZeroNum:644
RowNUM:749,ZeroNum:625
RowNUM:750,ZeroNum:643
RowNUM:751,ZeroNum:609
RowNUM:752,ZeroNum:644
RowNUM:753,ZeroNum:712
RowNUM:754,ZeroNum:652
RowNUM:755,ZeroNum:711
RowNUM:756,ZeroNum:570
RowNUM:757,ZeroNum:637
RowNUM:758,ZeroNum:631
RowNUM:759,ZeroNum:707
RowNUM:760,ZeroNum:553
RowNUM:761,ZeroNum:620
RowNUM:762,ZeroNum:671
RowNUM:763,ZeroNum:586
RowNUM:764,ZeroNum:672
RowNUM:765,ZeroNum:605
RowNUM:766,ZeroNum:642
RowNUM:767,ZeroNum:612
RowNUM:768,ZeroNum:724
RowNUM:769,ZeroNum:607
RowNUM:770,ZeroNum:614
RowNUM:771,ZeroNum:609
RowNUM:772,ZeroNum:698
RowNUM:773,ZeroNum:613
RowNUM:774,ZeroNum:662
RowNUM:775,ZeroNum:654
RowNUM:776,ZeroNum:725
RowNUM:777,ZeroNum:670
RowNUM:778,ZeroNum:649
RowNUM:779,ZeroNum:604
RowNUM:780,ZeroNum:642
RowNUM:781,ZeroNum:718
RowNUM:782,ZeroNum:656
RowNUM:783,ZeroNum:665
RowNUM:784,ZeroNum:606
RowNUM:785,ZeroNum:648
RowNUM:786,ZeroNum:666
RowNUM:787,ZeroNum:634
RowNUM:788,ZeroNum:641
RowNUM:789,ZeroNum:587
RowNUM:790,ZeroNum:546
RowNUM:791,ZeroNum:616
RowNUM:792,ZeroNum:653
RowNUM:793,ZeroNum:599
RowNUM:794,ZeroNum:640
RowNUM:795,ZeroNum:581
RowNUM:796,ZeroNum:632
RowNUM:797,ZeroNum:623
RowNUM:798,ZeroNum:653
RowNUM:799,ZeroNum:652
RowNUM:800,ZeroNum:653
RowNUM:801,ZeroNum:644
RowNUM:802,ZeroNum:693
RowNUM:803,ZeroNum:653
RowNUM:804,ZeroNum:671
RowNUM:805,ZeroNum:667
RowNUM:806,ZeroNum:596
RowNUM:807,ZeroNum:598
RowNUM:808,ZeroNum:634
RowNUM:809,ZeroNum:664
RowNUM:810,ZeroNum:627
RowNUM:811,ZeroNum:625
RowNUM:812,ZeroNum:638
RowNUM:813,ZeroNum:611
RowNUM:814,ZeroNum:702
RowNUM:815,ZeroNum:587
RowNUM:816,ZeroNum:633
RowNUM:817,ZeroNum:633
